x,y,z,q1,q2,q3,q4,dx,dy,dz,dq1,dq2,dq3,dq4
-0.09697949788805621,-0.13622819199724812,0.5487849499889278,-2.1894577133308215,0.4737403451339716,-1.5905347804060948,-1.3344550166712101,0.03722907617925514,0.030759838285331173,-0.012425023414251779,0.10321988685252625,-2.052918136541404e-06,-0.10114578413901887,-3.951639016008812e-11
-0.055241676938239934,-0.10087329118218419,0.5342932953267908,-2.0718214679896985,0.4737388372641565,-1.7055641342959167,-1.334455016716395,0.016855818886327298,0.01392341971746111,-0.007305271182223572,0.08528641977736773,-3.472046617436497e-07,-0.04510546056163811,-4.099431905046913e-11
-0.036449321164866724,-0.08515592526355087,0.5260333594883786,-1.9752309120848708,0.4737385727981741,-1.7561838994710306,-1.3344550167630207,0.009888550361591617,0.016499355903126345,-0.008056383605398176,0.03530318370536589,-1.9679199381172907e-09,-0.043816100528969226,-3.997269182320906e-11
-0.026242036850191157,-0.06877902377345399,0.5179769766537687,-1.935289449872871,0.47373856033752626,-1.7999999999999998,-1.334455016809144,0.004644373602139672,-0.0015966701708756414,2.126927411971735e-09,0.0667264115713242,-2.9037459714498226e-08,0.0,-4.012012944087928e-11
-0.020832349155478724,-0.07060602270745643,0.5179769790212342,-1.8577062220361353,0.4737385280105006,-1.7999999999999998,-1.3344550168553693,0.004218084852623889,-0.0011098209482019727,2.042732538676262e-09,0.05925791291624449,-2.7900183829920877e-08,0.0,-4.190292557382236e-11
-0.016054960153845256,-0.07184312153693485,0.5179769813214306,-1.7906563737352896,0.47373849659252265,-1.7999999999999998,-1.3344550169029077,0.0073016875208591694,-0.0012495971710988069,5.212085796291177e-08,0.10067192025310523,-7.081697261379638e-07,0.0,-4.179367962819924e-11
-0.007727148305885029,-0.07320836225009027,0.51797702010445,-1.6759570322778734,0.47373796958602954,-1.7999999999999998,-1.334455016950363,0.0055555114152792545,-0.0003746338798325255,-3.572504514437469e-10,0.07565651520024019,4.701834921405634e-09,0.0,-4.18252099620986e-11
-0.0014404285619420906,-0.07360093718442187,0.5179770206625918,-1.5903646197672425,0.4737379618325995,-1.7999999999999998,-1.3344550169978375,0.005544937357792816,0.00010042950693926744,1.98000671414178e-09,0.07535362417170632,-2.704785956320066e-08,0.0,-4.181655022250652e-11
0.004853645123972072,-0.07345484053830141,0.5179770228999714,-1.5048156551623626,0.47373793126809477,-1.7999999999999998,-1.334455017045312,0.008255918490736553,0.0010167596611190127,6.014598663561799e-08,0.11305760233784223,-8.17186564083805e-07,0.0,-4.1817660445531146e-11
0.014241297301742308,-0.07222417029229496,0.5179770675073604,-1.376111965432683,0.47373732514088196,-1.7999999999999998,-1.3344550170927805,0.007653924636408103,0.0019409478255936752,2.2547584022092337e-08,0.10731513079920285,-3.0644254767064893e-07,0.0,-4.1817660445531146e-11
-0.6273690854088465,-0.24313859968226437,0.18142830123095077,-2.7718625225542968,0.2999849217174886,-1.281895113909777,1.7314378396470396,0.006938363540072157,-0.05298608387939174,-0.038582907496070046,0.0755840676682169,0.010768862787453981,0.11063214755084827,-0.05808206645164726
-0.618801786421653,-0.3039081103909144,0.1371472765284867,-2.685071412680069,0.31234368429095793,-1.155295024967591,1.6644426659017308,0.0023800313118301775,-0.003851100881918812,-0.0889352970297663,0.0065400180554560094,0.09184838093046566,0.09084360584614082,-0.06115737235250163
-0.61533747447554,-0.307308430413652,0.035591302459591106,-2.678413589051282,0.41739927280653916,-1.0524561124595393,1.5950736635553884,0.027901214178400302,-0.02124864271644822,-0.05344593019514998,0.046781363029507084,0.05635066108052211,0.037933613501164754,-0.0029645382982497193
-0.03272955177197573,0.6617184099937791,0.20308802173685847,1.6202175007369126,0.4577642517232318,-1.5534630726306502,1.6429530218812616,-0.03852797275022263,0.006130082815540505,0.03254883506251777,0.05687381993891316,-0.02412906686902072,-0.00028153984986323266,-0.06220567710226965
-0.07649651387128675,0.6684444185343292,0.2404387961816234,1.684740235934132,0.4301117687418956,-1.553668315167938,1.5716069757523772,-0.03925006248470714,-0.002055477241721615,0.08797493489224784,0.058032559372564574,-0.09404240819828047,1.3597126814923755e-05,-0.08708737152685186
-0.12087418948781359,0.6649024925101537,0.3409344729920253,1.7506248254280612,0.3226872197090062,-1.553658402850596,1.472562976781957,-0.06488960152316403,-0.027503263778295706,0.09175633738362865,0.10375693291348731,-0.09766011477339548,-1.0406769137549787e-06,-0.0885164519623447
-0.19553921627789625,0.6312587557614722,0.4467701774083005,1.8711837524917851,0.209961010492817,-1.5536591614951036,1.370369466955035,-0.0022471356874634862,-0.031182639307373305,0.09626121900206741,0.018001273930627226,-0.09801935308036708,7.96723031992741e-08,-0.10977247461871387
-0.19653901394687434,0.5943201519356772,0.5574453412064166,1.8901709769201045,0.09702439320064406,-1.5536591034068754,1.2434917899963605,-0.04056295041403618,-0.06444487641225738,0.08200466253065375,0.101371251450038,-0.10783974209425896,-6.085051795778895e-09,-0.0587851680758269
-0.2428583142172028,0.5185559913345237,0.651232822686439,2.0087932153525068,-0.02743434032027778,-1.5536591078389508,1.1767685407254842,-0.0016950971561835448,-0.054933854693417605,0.06487482533200406,0.047395659493860265,-0.08445277259106292,4.737532588450222e-10,-0.06965437502205796
-0.2435797468419856,0.45517286815698327,0.725321875997872,2.062156675519041,-0.1242851540059469,-1.5536591074912256,1.0961678134469481,0.0245544300914102,-0.05700043994296872,0.062303664726011565,0.011541634082489871,-0.08491973024740344,-2.159983303329227e-11,-0.08945233148033371
-0.21517118770587462,0.3900273434682476,0.7953806525321196,2.074930224628368,-0.22060548037086208,-1.5536591075073627,0.9945496664757608,0.0017439517250289749,-0.04951836629442846,0.03432172418028301,0.05575075962204501,-0.04608554002408477,-8.468781231840694e-13,-0.07385225652299887
-0.21298975648502105,0.3338482766159099,0.8338449179934774,2.138677797575741,-0.27253162444715795,-1.5536591075091526,0.9108852315549902,-0.001048171158026412,-0.0494024740082431,0.02492520245291452,0.07720079715500594,-0.05315642113648161,-4.853450974451334e-12,-0.028511154366185454
